"","Season","TeamID","PPG","FGP","TPP","FTP","ORPG","DRPG","APG","TOPG","SPG","BPG","PFPG","PCT"
"1",2014,1101,63.142857,0.405508,0.373333,0.746067,8,20.333333,10,15,5.761905,1.47619,21.571429,0.095238
"2",2015,1101,61,0.404858,0.378026,0.727924,8.25,19.642857,11.857143,12.821429,5.928571,1.178571,20.607143,0.25
"3",2016,1101,69.851852,0.441621,0.363458,0.706985,8.185185,22.518519,12.888889,13.407407,6.740741,2.444444,22.37037,0.333333
"4",2017,1101,67.88,0.458365,0.371069,0.642241,7.56,22.88,13.6,14.48,7,2.76,22.16,0.36
"5",2003,1102,57.25,0.481149,0.375643,0.651357,4.178571,16.821429,13,11.428571,5.964286,1.785714,18.75,0.428571
"6",2004,1102,60.178571,0.482583,0.381029,0.709091,6.142857,15.357143,13.25,10.785714,7.785714,2.357143,16.642857,0.785714
"7",2005,1102,61.241379,0.448699,0.364407,0.728232,7.62069,15.413793,13.655172,10.068966,8.793103,1.724138,16.482759,0.586207
"8",2006,1102,63.5,0.481191,0.397035,0.746377,6.785714,17.785714,14.178571,10.928571,8,2.107143,15.392857,0.785714
"9",2007,1102,68.5,0.485795,0.403561,0.760073,6.466667,20.866667,15.033333,10.166667,6.266667,1.466667,15.166667,0.733333
"10",2008,1102,57.571429,0.437237,0.375472,0.694444,5.25,21.357143,11.928571,12.678571,6.178571,1.785714,17.178571,0.5
"11",2009,1102,57.413793,0.435055,0.370588,0.674074,6.931034,20.896552,11.896552,13.551724,5.068966,2.172414,17.793103,0.275862
"12",2010,1102,55.62069,0.438729,0.310476,0.637363,6.758621,19.862069,12.275862,12.793103,4.827586,1.517241,17.551724,0.275862
"13",2011,1102,64.25,0.468657,0.376258,0.700787,5.857143,22.428571,15.428571,11.928571,6.214286,2.535714,17.428571,0.5
"14",2012,1102,60.666667,0.444444,0.333333,0.682,5.851852,22.296296,13.37037,13,6.259259,2.962963,17,0.407407
"15",2013,1102,68.928571,0.471034,0.380719,0.727473,6.857143,22.178571,15.5,11.928571,6.214286,1.714286,17.607143,0.535714
"16",2014,1102,64.571429,0.425913,0.328947,0.690167,8.714286,22.857143,13.392857,13.464286,5.285714,2.964286,18.892857,0.357143
"17",2015,1102,64.724138,0.465353,0.354344,0.65859,8.793103,20.793103,14.896552,11.724138,6.310345,1.965517,17.827586,0.413793
"18",2016,1102,67.433333,0.422168,0.333922,0.673813,8.8,25.5,13.033333,13.2,6.1,1.666667,19.333333,0.4
"19",2017,1102,71.548387,0.42792,0.362832,0.716463,9.451613,25.258065,14.483871,12.483871,5.903226,1.806452,17.903226,0.322581
"20",2003,1103,78.777778,0.486074,0.33871,0.73639,9.777778,19.925926,15.222222,12.62963,7.259259,2.333333,19.851852,0.481481
"21",2004,1103,71.75,0.466488,0.362683,0.645349,11.214286,22.357143,15.107143,14.607143,7.392857,2.535714,19.464286,0.464286
"22",2005,1103,71.607143,0.444302,0.381271,0.682456,10.285714,23.071429,16.107143,13.357143,6.75,3.857143,18.821429,0.642857
"23",2006,1103,71.466667,0.448679,0.357143,0.727417,11,22.133333,15.633333,12.566667,6.033333,2.966667,18.966667,0.7
"24",2007,1103,74.625,0.48297,0.392857,0.672441,12,22.96875,15.03125,12.4375,7.71875,4.375,18.75,0.78125
"25",2008,1103,71.242424,0.44363,0.384937,0.707627,11.181818,20.242424,13.454545,12.757576,7.060606,2.787879,19.575758,0.69697
"26",2009,1103,66.411765,0.41626,0.329252,0.71535,11.735294,21.352941,12.117647,13.735294,7.647059,2.264706,20.617647,0.647059
"27",2010,1103,71.030303,0.435331,0.338509,0.665722,13.454545,22.69697,13.515152,13.666667,6.242424,3.181818,19.878788,0.69697
"28",2011,1103,69.970588,0.42982,0.360215,0.708065,10.058824,24.205882,14.352941,12.029412,6.441176,3.411765,19.235294,0.647059
"29",2012,1103,71.46875,0.461229,0.366279,0.691011,11.28125,23.75,13.71875,14.34375,7.3125,4.3125,18.3125,0.65625
"30",2013,1103,71.935484,0.452691,0.332303,0.642527,13.032258,24.774194,15,13.741935,7.129032,5.580645,18,0.806452
"31",2014,1103,67.909091,0.431907,0.347697,0.618008,12.30303,22.666667,11.151515,13.212121,6.606061,4.212121,17.818182,0.636364
"32",2015,1103,67.352941,0.410752,0.349345,0.66,11.970588,23.941176,12.411765,12.176471,6.264706,4.470588,18.852941,0.588235
"33",2016,1103,76.333333,0.433637,0.389389,0.689769,10.30303,26.121212,14.515152,10.818182,5.333333,3.848485,17.848485,0.757576
"34",2017,1103,76.666667,0.466631,0.369589,0.677892,9.818182,24.575758,14.515152,11.636364,5.424242,3.121212,18.363636,0.757576
"35",2003,1104,69.285714,0.420362,0.320144,0.709898,13.571429,23.928571,12.107143,13.285714,6.607143,3.785714,18.035714,0.607143
"36",2004,1104,72.206897,0.452665,0.383333,0.698738,11.310345,24,11.862069,13.275862,6.448276,3.103448,18.344828,0.586207
"37",2005,1104,75.433333,0.481646,0.390119,0.733524,10.233333,26.466667,13.833333,12.666667,5.2,4.433333,14.733333,0.766667
"38",2006,1104,69.965517,0.453444,0.339703,0.706161,12.517241,24.482759,12.206897,13.517241,6.344828,5.034483,13.827586,0.586207
"39",2007,1104,73.612903,0.45777,0.369004,0.708075,13.354839,25.354839,13.129032,13.677419,5.580645,5.258065,14,0.645161
"40",2008,1104,75.272727,0.456219,0.3625,0.620178,13.575758,24.606061,15.606061,13,7.454545,4.484848,16.757576,0.515152
"41",2009,1104,72.833333,0.436904,0.330296,0.704678,14.033333,25.733333,11.166667,14.8,7,4.666667,17.333333,0.533333
"42",2010,1104,68.5,0.440914,0.35,0.707317,12.0625,23.125,13.40625,12.8125,7.78125,3.96875,18.21875,0.53125
"43",2011,1104,66.65625,0.444941,0.298405,0.723104,12.59375,24.0625,12.40625,14.1875,9.25,5.21875,18.40625,0.65625
"44",2012,1104,64.9375,0.451613,0.284768,0.715221,10.8125,24.375,12.28125,12.9375,7.3125,4.15625,18.40625,0.65625
"45",2013,1104,62.59375,0.428571,0.33652,0.696335,10.4375,21.96875,10.46875,12.46875,8.21875,4.46875,17.5,0.625
"46",2014,1104,66.709677,0.438356,0.33271,0.68272,9.903226,22.580645,10.774194,11.83871,6.741935,4.225806,19.16129,0.387097
"47",2015,1104,66.645161,0.438383,0.32126,0.72198,9.516129,23.096774,10.354839,12.096774,6.290323,3.612903,19.290323,0.548387
"48",2016,1104,66.84375,0.426627,0.342896,0.639885,9.78125,24.875,10.5625,13.3125,5.625,5.28125,19.3125,0.5625
"49",2017,1104,68.666667,0.423784,0.317784,0.649526,12.30303,26.878788,11.424242,13.878788,6,4.212121,19.727273,0.575758
"50",2003,1105,71.769231,0.395755,0.364815,0.705986,13.5,23.115385,14.538462,18.653846,9.307692,2.076923,20.230769,0.269231
"51",2004,1105,69.793103,0.407981,0.31746,0.688953,12.517241,23.965517,12.344828,16.172414,7.206897,2.551724,21.517241,0.448276
"52",2005,1105,68.964286,0.399759,0.292982,0.61236,13,24.607143,13.035714,15.428571,10.392857,3.821429,19.285714,0.551724
"53",2006,1105,73.956522,0.417496,0.322148,0.65247,12.913043,25.434783,12.130435,15.652174,8.217391,5.73913,19.695652,0.478261
"54",2007,1105,60.038462,0.376832,0.26226,0.634752,11.038462,23.730769,10.115385,17.846154,6.730769,7.653846,20.307692,0.230769
"55",2008,1105,64.192308,0.380531,0.329114,0.686957,12.653846,22.576923,9.615385,16.038462,7.192308,5.653846,18.807692,0.423077
"56",2009,1105,64,0.389091,0.26799,0.658088,12.291667,22.291667,10.666667,16.208333,8.041667,3.458333,20.333333,0.291667
