"","Season","School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"1",2003,"Kansas","Big 12","30","8","82.7","66.9","15.79","10.53","16.06","8.94","25.00"
"2",2003,"Arizona","Pac-10","28","4","85.2","70.7","14.47","8.95","18.20","5.22","23.42"
"3",2003,"Kentucky","SEC (East)","32","4","77.3","64.1","13.14","9.33","11.98","10.49","22.47"
"4",2003,"Pittsburgh","Big East (West)","28","5","74.9","59.2","15.70","5.79","7.46","14.04","21.49"
"5",2003,"Maryland","ACC","21","10","79.7","66.7","13.00","7.56","13.93","6.62","20.56"
"6",2003,"Duke","ACC","26","7","81.1","69.6","11.48","8.38","14.87","4.99","19.86"
"7",2003,"Illinois","Big Ten","25","7","74.6","61.6","13.06","6.76","9.70","10.12","19.82"
"8",2003,"Louisville","CUSA (American)","25","7","81.6","68.7","12.97","6.84","17.19","2.62","19.81"
"9",2003,"Syracuse","Big East (West)","30","5","79.6","69.6","10.00","9.02","14.27","4.75","19.02"
"10",2003,"Texas","Big 12","26","7","79.3","69.7","9.64","9.27","14.31","4.60","18.91"
"11",2003,"Oklahoma","Big 12","27","7","70.4","60.0","10.32","8.53","5.03","13.83","18.86"
"12",2003,"Florida","SEC (East)","25","8","75.3","64.5","10.79","7.76","9.99","8.56","18.54"
"13",2003,"Mississippi State","SEC (West)","21","10","69.4","59.7","9.65","8.00","3.99","13.66","17.65"
"14",2003,"Wisconsin","Big Ten","24","8","70.3","59.3","10.97","6.51","3.91","13.56","17.48"
"15",2003,"Notre Dame","Big East (West)","24","10","79.2","71.3","7.88","9.43","13.64","3.67","17.32"
"16",2003,"Georgia","SEC (East)","19","8","79.2","73.2","6.00","11.30","14.89","2.42","17.30"
"17",2003,"Wake Forest","ACC","25","6","77.8","67.8","10.00","6.96","11.30","5.65","16.96"
"18",2003,"Marquette","CUSA (American)","27","6","78.5","69.5","9.00","7.28","12.30","3.98","16.28"
"19",2003,"Michigan State","Big Ten","22","13","67.6","61.2","6.40","9.72","2.60","13.52","16.12"
"20",2003,"Louisiana State","SEC (West)","21","11","72.7","63.4","9.25","6.83","7.58","8.50","16.08"
"21",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"22",2003,"Xavier","A-10 (West)","26","6","77.6","66.1","11.47","4.61","10.02","6.06","16.08"
"23",2003,"Purdue","Big Ten","19","11","71.9","65.3","6.53","9.42","7.99","7.96","15.95"
"24",2003,"Connecticut","Big East (East)","23","10","79.5","71.2","8.21","7.63","12.51","3.33","15.84"
"25",2003,"Creighton","MVC","29","5","79.1","64.8","14.29","1.03","10.68","4.65","15.33"
"26",2003,"Arizona State","Pac-10","20","12","77.0","70.5","6.47","9.27","9.79","5.22","15.01"
"27",2003,"Missouri","Big 12","22","11","72.4","67.7","4.73","10.15","7.73","7.15","14.87"
"28",2003,"Texas Tech","Big 12","22","13","72.7","66.1","6.51","8.29","6.87","7.93","14.80"
"29",2003,"Oklahoma State","Big 12","22","10","69.5","62.6","6.88","8.46","3.38","11.24","14.62"
"30",2003,"Saint Joseph's","A-10 (East)","23","7","70.4","59.5","10.90","3.71","2.32","12.29","14.61"
"31",2003,"Oregon","Pac-10","23","10","81.5","73.5","7.94","6.11","12.95","1.10","14.05"
"32",2003,"Brigham Young","MWC","23","9","71.8","63.5","8.34","5.29","4.21","9.42","13.63"
"33",2003,"Alabama","SEC (West)","17","12","69.0","65.1","3.97","9.40","5.23","8.13","13.36"
"34",2003,"Stanford","Pac-10","24","9","72.5","67.6","4.88","8.37","4.81","8.45","13.25"
"35",2003,"Memphis","CUSA (National)","23","7","74.4","66.4","7.97","5.27","7.76","5.47","13.23"
"36",2003,"Cincinnati","CUSA (American)","17","12","67.4","61.9","5.45","7.45","1.16","11.73","12.90"
"37",2003,"Georgetown","Big East (West)","19","15","76.0","69.4","6.59","6.27","9.23","3.63","12.86"
"38",2003,"Colorado","Big 12","20","12","75.2","70.3","4.81","8.01","9.09","3.73","12.82"
"39",2003,"Auburn","SEC (West)","22","12","70.8","65.7","5.09","8.34","5.01","7.66","12.68"
"40",2003,"Indiana","Big Ten","21","13","69.9","67.1","2.82","9.81","5.59","7.04","12.63"
"41",2003,"Gonzaga","WCC","24","9","77.5","69.1","8.45","3.80","9.79","2.47","12.26"
"42",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"43",2003,"Georgia Tech","ACC","16","15","74.1","69.8","4.26","7.94","7.77","4.43","12.20"
"44",2003,"University of California","Pac-10","22","9","74.2","70.0","4.19","7.58","6.10","5.68","11.77"
"45",2003,"North Carolina State","ACC","18","13","72.5","68.3","4.19","7.57","5.77","5.99","11.76"
"46",2003,"Providence","Big East (East)","18","14","71.4","67.6","3.81","7.82","5.09","6.55","11.64"
"47",2003,"North Carolina","ACC","19","16","72.1","71.2","0.91","10.31","6.54","4.68","11.22"
"48",2003,"Dayton","A-10 (West)","24","6","72.7","66.9","5.83","5.17","7.00","4.00","11.00"
"49",2003,"Utah","MWC","25","8","66.4","60.3","6.06","5.25","-0.92","11.92","11.00"
"50",2003,"Tulsa","WAC","23","10","73.4","65.3","8.12","2.29","4.69","5.72","10.41"
"51",2003,"Boston College","Big East (East)","19","12","79.4","76.4","3.06","7.23","13.22","-2.92","10.30"
"52",2003,"Kansas State","Big 12","13","17","69.6","66.2","3.47","7.37","4.15","5.98","10.13"
"53",2003,"Tennessee","SEC (East)","17","12","68.3","66.3","2.00","7.88","2.51","7.37","9.88"
"54",2003,"Iowa State","Big 12","17","14","70.5","66.2","4.35","6.05","2.95","6.87","9.82"
"55",2003,"St. John's (NY)","Big East (East)","21","13","71.1","68.8","2.35","7.35","2.85","6.86","9.71"
"56",2003,"Seton Hall","Big East (West)","17","13","67.6","66.2","1.47","8.20","1.35","8.31","9.66"
"57",2003,"Michigan","Big Ten","17","13","69.0","67.3","1.73","7.89","3.25","6.37","9.62"
"58",2003,"Mississippi","SEC (West)","14","15","66.7","63.7","3.00","6.25","2.23","7.02","9.25"
"59",2003,"Butler","Horizon","27","6","67.5","60.2","7.36","2.23","-0.54","9.65","9.11"
"60",2003,"Minnesota","Big Ten","19","14","73.6","71.2","2.39","6.72","8.24","0.87","9.11"
"61",2003,"Villanova","Big East (East)","15","16","71.8","70.2","1.55","7.56","5.89","3.23","9.11"
"62",2003,"Nevada-Las Vegas","MWC","21","11","75.3","71.0","4.34","4.67","8.66","0.35","9.01"
"63",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"64",2003,"Florida State","ACC","14","15","68.1","66.6","1.52","7.75","0.84","8.17","9.00"
"65",2003,"DePaul","CUSA (American)","16","13","67.2","64.9","2.34","6.49","0.83","8.00","8.84"
"66",2003,"Southern Illinois","MVC","24","7","74.4","68.2","6.19","2.37","6.73","1.84","8.57"
"67",2003,"North Carolina-Wilmington","CAA","24","7","71.4","60.1","11.32","-2.80","1.09","7.44","8.52"
"68",2003,"Iowa","Big Ten","17","14","69.1","66.5","2.61","5.83","3.89","4.55","8.44"
"69",2003,"Pennsylvania","Ivy","22","6","69.9","60.0","9.89","-1.45","1.03","7.41","8.44"
"70",2003,"Ohio State","Big Ten","17","15","64.2","64.7","-0.47","8.49","-0.45","8.47","8.02"
"71",2003,"Louisiana-Lafayette","Sun Belt (West)","20","10","77.5","69.5","8.03","1.24","6.55","1.37","7.92"
"72",2003,"Milwaukee","Horizon","24","8","77.1","69.9","7.13","0.81","8.04","-0.33","7.71"
"73",2003,"Western Kentucky","Sun Belt (East)","24","9","73.6","66.5","7.15","1.40","3.91","3.80","7.71"
"74",2003,"Alabama-Birmingham","CUSA (National)","21","13","77.6","72.9","4.79","3.89","10.34","-2.74","7.60"
"75",2003,"Virginia","ACC","16","16","73.9","74.6","-0.66","8.64","6.71","0.80","7.51"
"76",2003,"South Carolina","SEC (East)","12","16","65.7","67.3","-1.57","8.96","-0.24","7.63","7.39"
"77",2003,"Southern California","Pac-10","13","17","76.5","76.6","-0.07","7.28","9.26","-2.01","7.25"
"78",2003,"Temple","A-10 (East)","18","16","66.6","66.1","0.50","6.66","0.17","6.99","7.16"
"79",2003,"Central Michigan","MAC (West)","25","7","79.8","73.3","6.47","1.79","9.26","-2.41","6.85"
"80",2003,"Saint Louis","CUSA (American)","16","14","60.7","60.7","-0.03","6.88","-5.85","12.70","6.84"
"81",2003,"Western Michigan","MAC (West)","20","11","69.4","63.5","5.90","0.76","-1.32","7.98","6.66"
"82",2003,"UCLA","Pac-10","10","19","75.2","78.6","-3.41","9.74","8.01","-1.68","6.33"
"83",2003,"Richmond","A-10 (West)","15","14","65.1","62.4","2.69","3.50","-3.79","9.98","6.19"
"84",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"85",2003,"Illinois-Chicago","Horizon","21","9","75.0","68.7","6.23","-0.12","6.08","0.07","6.15"
"86",2003,"Vanderbilt","SEC (East)","11","18","68.9","72.1","-3.21","9.36","3.40","2.76","6.15"
"87",2003,"Missouri State","MVC","17","12","66.6","61.4","5.14","0.92","-2.79","8.84","6.06"
"88",2003,"Miami (FL)","Big East (East)","11","17","69.9","68.7","1.14","4.91","1.90","4.15","6.05"
"89",2003,"Baylor","Big 12","14","14","69.0","68.4","0.61","5.44","2.20","3.84","6.04"
"90",2003,"Tulane","CUSA (National)","16","15","71.1","67.5","3.58","2.84","2.87","3.14","6.01"
"91",2003,"Nevada","WAC","18","14","76.0","71.9","4.09","2.06","6.78","-0.79","5.99"
"92",2003,"Texas A&M","Big 12","14","14","72.0","73.2","-1.25","7.23","5.72","0.26","5.98"
"93",2003,"Detroit Mercy","Horizon","18","12","70.9","64.5","6.43","-0.10","1.23","4.64","5.86"
"94",2003,"Manhattan","MAAC","23","7","75.8","68.0","7.77","-1.99","3.80","1.98","5.78"
"95",2003,"St. Bonaventure","A-10 (East)","13","14","79.5","78.1","1.37","4.38","12.31","-6.56","5.75"
"96",2003,"Wyoming","MWC","21","11","73.2","70.8","2.44","3.50","6.21","-0.46","5.75"
"97",2003,"Clemson","ACC","15","13","68.4","68.1","0.32","5.35","0.87","4.80","5.67"
"98",2003,"Charlotte","CUSA (American)","13","16","68.4","69.9","-1.45","6.94","2.42","3.08","5.50"
"99",2003,"San Diego","WCC","18","12","75.5","71.4","4.07","2.74","5.27","0.19","5.46"
"100",2003,"Colorado State","MWC","19","14","74.2","71.6","2.64","4.41","6.15","-0.77","5.38"
"101",2003,"Fresno State","WAC","20","8","71.6","66.8","4.86","0.44","2.11","3.18","5.29"
"102",2003,"Holy Cross","Patriot","26","5","70.3","58.7","11.58","-5.38","-1.53","6.79","5.26"
"103",2003,"San Diego State","MWC","16","14","71.5","69.6","1.93","4.14","3.91","1.20","5.11"
"104",2003,"Rutgers","Big East (West)","12","16","67.6","69.0","-1.36","6.45","1.26","3.83","5.09"
"105",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"106",2003,"Kent State","MAC (East)","21","10","76.8","70.7","6.06","0.56","5.86","-0.83","5.03"
"107",2003,"New Mexico State","Sun Belt (West)","20","9","73.7","67.4","6.21","-0.92","3.05","1.64","4.69"
