"","Team_Id","Team_Name","Season","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS","Seed"
"1",1101,"Abilene Christian",2014,"Southland","11","20","71.4","71.9","-0.45","-4.12","-10.89","-8.71","-19.60",NA
"2",1101,"Abilene Christian",2015,"Southland","10","21","63.7","70.5","-6.77","-6.34","-10.54","-6.66","-17.20",NA
"3",1101,"Abilene Christian",2016,"Southland","13","18","71.3","73.3","-2.03","-7.53","-7.39","-6.54","-13.93",NA
"4",1101,"Abilene Christian",2017,"Southland","13","16","69.3","71.5","-2.21","-7.10","-9.00","-2.86","-11.86",NA
"5",1102,"Air Force",2003,"MWC","12","16","57.3","57.0","0.25","1.46","-13.17","14.87","1.71",NA
"6",1102,"Air Force",2004,"MWC","22","7","59.9","50.9","9.03","0.08","-9.42","18.54","9.12",11
"7",1102,"Air Force",2005,"MWC","18","12","61.2","54.3","6.87","2.61","-6.92","15.53","8.61",NA
"8",1102,"Air Force",2006,"MWC","24","7","64.2","54.7","9.52","2.49","-4.54","14.74","10.20",13
"9",1102,"Air Force",2007,"MWC","26","9","69.0","56.0","12.97","3.34","0.11","15.09","15.19",NA
"10",1102,"Air Force",2008,"MWC","16","14","58.7","57.2","1.50","0.19","-10.66","11.09","0.44",NA
"11",1102,"Air Force",2009,"MWC","10","21","58.7","62.5","-3.71","2.37","-11.05","8.06","-2.99",NA
"12",1102,"Air Force",2010,"MWC","10","21","57.2","63.1","-5.94","3.13","-12.35","7.45","-4.90",NA
"13",1102,"Air Force",2011,"MWC","16","16","64.8","65.1","-0.25","3.31","-1.94","4.65","2.71",NA
"14",1102,"Air Force",2012,"MWC","13","16","61.6","62.0","-0.41","2.14","-5.47","5.02","-0.45",NA
"15",1102,"Air Force",2013,"MWC","18","14","70.0","67.8","2.22","4.28","4.11","0.07","4.18",NA
"16",1102,"Air Force",2014,"MWC","12","18","66.0","69.1","-3.13","1.71","-4.70","0.63","-4.08",NA
"17",1102,"Air Force",2015,"MWC","14","17","65.7","65.1","0.65","-0.71","-1.05","-0.80","-1.85",NA
"18",1102,"Air Force",2016,"MWC","14","18","68.4","72.8","-4.41","0.66","-5.17","-0.34","-5.51",NA
"19",1102,"Air Force",2017,"MWC","12","21","73.1","75.1","-2.00","1.00","-0.80","-2.26","-3.06",NA
"20",1103,"Akron",2003,"MAC (East)","14","14","78.6","77.0","1.64","-1.43","7.65","-8.45","-0.80",NA
"21",1103,"Akron",2004,"MAC (East)","13","15","71.8","72.1","-0.39","0.00","1.56","-1.95","-0.39",NA
"22",1103,"Akron",2005,"MAC (East)","19","10","71.8","65.6","6.21","1.67","2.89","4.15","7.03",NA
"23",1103,"Akron",2006,"MAC (East)","23","10","72.9","66.1","6.88","0.13","3.91","1.10","5.00",NA
"24",1103,"Akron",2007,"MAC (East)","26","7","75.3","61.0","14.27","-1.90","5.16","5.74","10.90",NA
"25",1103,"Akron",2008,"MAC (East)","24","11","70.8","63.8","7.03","0.33","1.88","4.36","6.24",NA
"26",1103,"Akron",2009,"MAC (East)","23","13","66.8","60.3","6.44","-2.01","-1.16","4.52","3.37",13
"27",1103,"Akron",2010,"MAC (East)","24","11","70.6","65.5","5.11","-1.50","1.58","1.24","2.82",NA
"28",1103,"Akron",2011,"MAC (East)","23","13","70.1","65.7","4.42","-1.02","0.77","1.37","2.15",15
"29",1103,"Akron",2012,"MAC (East)","22","12","72.2","65.9","6.32","0.72","4.74","1.59","6.33",NA
"30",1103,"Akron",2013,"MAC (East)","26","7","71.8","62.8","9.03","0.18","4.28","3.83","8.11",12
"31",1103,"Akron",2014,"MAC (East)","21","13","68.6","66.9","1.65","-0.48","-1.23","2.39","1.16",NA
"32",1103,"Akron",2015,"MAC (East)","21","14","68.1","62.9","5.11","-0.47","-0.43","4.08","3.65",NA
"33",1103,"Akron",2016,"MAC (East)","26","9","76.6","68.0","8.60","-1.24","2.02","3.53","5.55",NA
"34",1103,"Akron",2017,"MAC (East)","27","9","77.0","70.8","6.17","-1.21","2.14","1.45","3.59",NA
"35",1104,"Alabama",2003,"SEC (West)","17","12","69.0","65.1","3.97","9.40","5.23","8.13","13.36",10
"36",1104,"Alabama",2004,"SEC (West)","20","13","72.1","68.0","4.09","10.20","8.58","5.71","14.29",8
"37",1104,"Alabama",2005,"SEC (West)","24","8","75.8","65.1","10.72","6.81","9.52","7.22","16.74",5
"38",1104,"Alabama",2006,"SEC (West)","18","13","70.3","67.5","2.71","8.08","6.19","4.60","10.79",10
"39",1104,"Alabama",2007,"SEC (West)","20","12","74.0","69.5","4.56","6.24","7.77","3.04","10.81",NA
"40",1104,"Alabama",2008,"SEC (West)","17","16","75.3","72.8","2.42","5.70","8.19","-0.07","8.12",NA
"41",1104,"Alabama",2009,"SEC (West)","18","14","73.4","70.4","2.97","3.99","4.62","0.87","5.49",NA
"42",1104,"Alabama",2010,"SEC (West)","17","15","68.5","64.8","3.72","6.62","2.35","7.99","10.34",NA
"43",1104,"Alabama",2011,"SEC (West)","25","12","66.8","59.4","7.43","4.27","0.14","11.56","11.70",NA
"44",1104,"Alabama",2012,"SEC","21","12","64.7","58.1","6.58","7.18","0.16","13.60","13.76",9
"45",1104,"Alabama",2013,"SEC","23","13","63.0","58.4","4.61","5.93","-1.78","11.57","9.79",NA
"46",1104,"Alabama",2014,"SEC","13","19","67.8","67.2","0.63","8.88","0.09","8.25","8.34",NA
"47",1104,"Alabama",2015,"SEC","19","15","67.1","64.1","2.94","8.09","4.02","6.50","10.52",NA
"48",1104,"Alabama",2016,"SEC","18","15","66.5","67.9","-1.48","8.62","-2.33","9.46","7.14",NA
"49",1104,"Alabama",2017,"SEC","19","15","68.5","64.7","3.82","7.47","-0.99","12.28","11.29",NA
"50",1105,"Alabama A&M",2003,"SWAC","8","19","72.7","76.7","-4.07","-11.83","-4.18","-12.54","-16.71",NA
"51",1105,"Alabama A&M",2004,"SWAC","13","17","70.4","74.0","-3.57","-12.29","-4.95","-10.93","-15.88",NA
"52",1105,"Alabama A&M",2005,"SWAC","18","14","69.7","67.8","1.88","-12.86","-3.78","-8.18","-11.96",16
"53",1105,"Alabama A&M",2006,"SWAC","13","13","73.7","72.0","1.73","-10.43","0.57","-9.69","-9.12",NA
"54",1105,"Alabama A&M",2007,"SWAC","10","20","61.9","68.4","-6.53","-12.38","-14.26","-9.29","-23.55",NA
"55",1105,"Alabama A&M",2008,"SWAC","14","15","65.9","67.3","-1.45","-12.97","-11.25","-4.89","-16.14",NA
"56",1105,"Alabama A&M",2009,"SWAC","8","19","65.2","72.4","-7.15","-11.63","-10.62","-9.10","-19.72",NA
"57",1105,"Alabama A&M",2010,"SWAC","11","16","65.9","69.7","-3.81","-13.71","-10.54","-9.65","-20.19",NA
"58",1105,"Alabama A&M",2011,"SWAC","13","15","64.6","66.8","-2.21","-11.75","-10.32","-4.86","-15.19",NA
"59",1105,"Alabama A&M",2012,"SWAC","7","21","63.0","70.1","-7.14","-10.79","-8.85","-10.48","-19.33",NA
"60",1105,"Alabama A&M",2013,"SWAC","11","20","63.1","69.7","-6.55","-9.82","-9.20","-9.20","-18.40",NA
"61",1105,"Alabama A&M",2014,"SWAC","14","16","64.5","67.0","-2.47","-10.58","-11.79","-2.07","-13.86",NA
"62",1105,"Alabama A&M",2015,"SWAC","9","20","62.0","68.6","-6.59","-9.62","-10.14","-7.01","-17.15",NA
"63",1105,"Alabama A&M",2016,"SWAC","11","18","68.1","70.4","-2.34","-10.75","-8.20","-5.27","-13.47",NA
"64",1105,"Alabama A&M",2017,"SWAC","2","27","61.9","77.8","-15.90","-11.09","-15.57","-11.42","-26.99",NA
"65",1106,"Alabama State",2003,"SWAC","14","15","64.1","63.7","0.48","-10.00","-12.08","1.74","-10.33",NA
